kind,repeat,initial_val_loss,final_val_loss,learning_progress_proxy,loss_reduction,transfer_accuracy
random,0,0.7001558487117105,0.6931182957548307,0.016111088197936718,0.0070375529568798,0.5425
irrelevant_rule,0,0.6937731526900669,0.5303941761565958,2.5568355111701266,0.1633789765334711,0.56875
relevant_rule,0,0.5911197612966029,0.2615711830537687,0.6545255342787721,0.32954857824283423,0.695625
mixed_rule,0,0.7009386379805759,0.6627079077336149,0.5005937841784219,0.038230730246961,0.73625
random,1,0.6994942808599198,0.6932239893370014,0.011759097623699644,0.00627029152291847,0.35125
irrelevant_rule,1,0.708595147032418,0.460589041824619,3.454744451480785,0.24800610520779898,0.484375
relevant_rule,1,0.5018080329452397,0.2569551920695339,0.4247081238973879,0.2448528408757058,0.500625
mixed_rule,1,0.699216733519099,0.6881560463371889,0.10390780624060658,0.011060687181910112,0.528125
random,2,0.6966638003392285,0.6933950385584486,0.012143748162805612,0.0032687617807798386,0.3975
irrelevant_rule,2,0.695039186667975,0.6842488291273304,0.13255822579844412,0.010790357540644613,0.654375
relevant_rule,2,0.5795640779169832,0.26149027882256193,0.5427923257310374,0.31807379909442124,0.653125
mixed_rule,2,0.6946192744787865,0.6923871474458789,0.013772414845197645,0.0022321270329075382,0.679375
random,3,0.7010917101022072,0.6931884265074801,0.02209234570742402,0.007903283594727029,0.5825
irrelevant_rule,3,0.6944111198104783,0.2936356422640534,4.3362298936645365,0.4007754775464249,0.43125
relevant_rule,3,0.4705185961065162,0.2347601715099416,0.556961760153752,0.2357584245965746,0.521875
mixed_rule,3,0.6971242325501553,0.6244549684804581,1.0597259631882165,0.0726692640696972,0.59
random,4,0.6957481551642585,0.693311423528388,0.006261981632191604,0.002436731635870437,0.64125
irrelevant_rule,4,0.695101366662225,0.6907509303035849,0.030531593637789123,0.004350436358640075,0.521875
relevant_rule,4,0.47750978558105045,0.27504145703116334,0.33248541509706697,0.2024683285498871,0.524375
mixed_rule,4,0.699183633149022,0.6906722392315982,0.0548102667774536,0.008511393917423837,0.44875
random,5,0.7022334577022187,0.6931271149461102,0.024164032358589882,0.009106342756108443,0.45375
irrelevant_rule,5,0.7040021159709801,0.4634232799266556,3.5993023047393926,0.24057883604432445,0.51
relevant_rule,5,0.5420849259620965,0.26766481722297686,0.6273829321174483,0.2744201087391196,0.564375
mixed_rule,5,0.7003888974563202,0.5555964267291575,2.0815054127120445,0.14479247072716261,0.489375
random,6,0.6956965480320181,0.6930702889685321,0.005571025641937122,0.002626259063486014,0.514375
irrelevant_rule,6,0.6928800911950553,0.48772478800615243,3.2870454108913916,0.2051553031889029,0.494375
relevant_rule,6,0.45471853474115337,0.26295424775033843,0.38433389023461384,0.19176428699081494,0.574375
mixed_rule,6,0.6977999766823509,0.6866960881729001,0.10892062671761638,0.011103888509450877,0.684375
random,7,0.6983880757738401,0.6933065697539085,0.014334699891580871,0.005081506019931625,0.6125
irrelevant_rule,7,0.6965600714907274,0.6922052026715221,0.030862656468069072,0.004354868819205326,0.70875
relevant_rule,7,0.418987212512188,0.2575211099565995,0.4063148848430223,0.16146610255558852,0.598125
mixed_rule,7,0.6992367809337646,0.6636234108214812,0.46594768357716165,0.03561337011228338,0.579375
random,8,0.7007818807896044,0.6934677947919392,0.015977828720380227,0.007314085997665143,0.5
irrelevant_rule,8,0.6982636719528287,0.4645475590753654,3.6015821039379254,0.2337161128774633,0.42875
relevant_rule,8,0.47070614759556245,0.26171358250094146,0.4212095810451253,0.208992565094621,0.318125
mixed_rule,8,0.703007405735952,0.5612024681159196,1.9219892413223987,0.14180493762003243,0.66875
random,9,0.6939292937141757,0.6934903015044068,0.0007522767167246203,0.00043899220976884035,0.545
irrelevant_rule,9,0.7059521628785849,0.6320144445039511,1.0617575331624023,0.07393771837463381,0.426875
relevant_rule,9,0.5252087569385099,0.25113017435750074,0.6597867294721522,0.27407858258100914,0.663125
mixed_rule,9,0.6992484016649692,0.6465269914609127,0.7340089438558176,0.05272141020405641,0.81125
random,10,0.6952311148723782,0.6932805324830055,0.004440665010219003,0.0019505823893727348,0.62625
irrelevant_rule,10,0.6980183974901871,0.6212239351485812,1.149459749256087,0.07679446234160592,0.4725
relevant_rule,10,0.44108744282182344,0.2781563633821485,0.3527692506716795,0.16293107943967494,0.561875
mixed_rule,10,0.6986519201561407,0.6609686294245837,0.5249970401615403,0.03768329073155707,0.484375
random,11,0.6984421592346087,0.6933126495127062,0.01020147122653825,0.005129509721902514,0.60125
irrelevant_rule,11,0.7043355508099692,0.6885214788173037,0.09941801908879999,0.01581407199266549,0.51625
