k,kind,total_structure_proxy,target_alignment,tre_proxy,transfer_accuracy,transfer_accuracy_std
4,irrelevant_high,22.02203412313915,0.00011123553020939652,0.0024483248886298156,0.50055859375,0.00785896795744524
4,mixed_budget_limited,21.08005219624991,0.0005712225766667817,0.012021970296353187,0.50219921875,0.008453558902031663
4,random,0.47547266504292796,0.1258199165079476,0.060172416636636465,0.54442578125,0.04843308015549097
4,relevant_high,24.522167042954738,0.999292327859843,24.5048171857677,0.8119765624999999,0.039049996411549916
4,relevant_mid,7.036910506916156,0.9966967028728304,7.013669503888241,0.80998046875,0.040128595489591454
12,irrelevant_high,42.043152496604705,0.14441134617833473,6.073861411222818,0.522046875,0.03376972894848236
12,mixed_budget_limited,40.18825771316929,0.9975428483375077,40.089500738706306,0.7212109375,0.051401744356749865
12,random,0.9522907001776763,0.37189094638595555,0.35444480543288653,0.57921484375,0.047201881250920404
12,relevant_high,24.48044410832116,0.9994713434247813,24.467496702964198,0.71732421875,0.05811758878656346
12,relevant_mid,7.019414377980311,0.9977177075930834,7.003391002037206,0.72003515625,0.05908522005160538
