kind,k,seed,total_structure_proxy,target_alignment,tre_proxy,transfer_accuracy
random,4,100640,0.4888456806183463,0.09588849658175094,0.04687467737497601,0.52225
irrelevant_high,4,100641,22.0239497233295,0.0002759221068131503,0.006076894608007974,0.49825
relevant_mid,4,100642,7.008574257688484,0.9946550263594779,6.971113613023498,0.767
mixed_budget_limited,4,100643,20.825113827582282,0.0008200763034509149,0.01707818236666821,0.49375
relevant_high,4,100644,24.447310465027016,0.9994074081430538,24.432823187921205,0.776
random,12,100720,0.9736047581306286,0.6223010958284358,0.6058753078884694,0.55275
irrelevant_high,12,100721,41.58287780923513,0.06626990279179595,2.755693270221141,0.488
relevant_mid,12,100722,7.103598384151121,0.9968987183715844,7.081568124986711,0.70925
mixed_budget_limited,12,100723,40.31587617796052,0.998094127705143,40.23903926651006,0.70325
relevant_high,12,100724,24.1602596811941,0.9995110409144508,24.14844630271375,0.64725
random,4,100740,0.48247120421598066,0.0456244070540574,0.02201246261301116,0.527
irrelevant_high,4,100741,21.96760159074822,0.00016339968731187633,0.003589499230920136,0.50725
relevant_mid,4,100742,6.938311519751456,0.9967619215731208,6.915844722900381,0.815
mixed_budget_limited,4,100743,21.304388555825355,0.00014724847133257762,0.0031370386475205445,0.508
relevant_high,4,100744,24.458577340591688,0.9993836405094727,24.44350206432302,0.81875
random,12,100820,0.9595172567580375,0.40727211842921085,0.39078462582923096,0.621
irrelevant_high,12,100821,41.37695282786969,0.14941736184352936,6.18243513266445,0.50675
relevant_mid,12,100822,7.2084545487556735,0.9968981410732669,7.186094939665666,0.7345
mixed_budget_limited,12,100823,40.22424498393991,0.9969600816299217,40.1019665626907,0.6995
relevant_high,12,100824,24.60715766686141,0.9997358063132549,24.600656611157085,0.7215
random,4,100840,0.4476620853270046,0.16997846774137973,0.07609291532979502,0.56125
irrelevant_high,4,100841,22.234030687284978,0.00011815687569801265,0.00262710360018333,0.4905
relevant_mid,4,100842,7.019045960606798,0.9980979885376646,7.005695654735065,0.773
mixed_budget_limited,4,100843,21.36667191022625,0.0005304694105373842,0.011334365853363403,0.504
relevant_high,4,100844,24.578426966996552,0.9990182620844519,24.554297393338523,0.78325
random,12,100920,0.984812392138803,0.4243427291637836,0.417897978194494,0.5425
irrelevant_high,12,100921,41.937382263187985,0.038213051388692736,1.6025553435304538,0.4915
relevant_mid,12,100922,6.947358827523443,0.9983385177862167,6.935815914398742,0.7585
mixed_budget_limited,12,100923,40.35035235773608,0.9981380704676265,40.27522284503953,0.74725
relevant_high,12,100924,24.67085616519342,0.9996694334381412,24.66270080509278,0.699
random,4,100940,0.4595419612533729,0.11717879446084739,0.053848573023843674,0.5435
irrelevant_high,4,100941,22.194288939896303,3.023049506619404e-05,0.0006709443422952202,0.51475
relevant_mid,4,100942,6.904340562045179,0.9978498813340582,6.889495410526706,0.7865
mixed_budget_limited,4,100943,20.959781728597825,0.0009546343296581571,0.020008927180261274,0.53025
relevant_high,4,100944,24.031020973460585,0.9994413842178224,24.017596865882968,0.78575
random,12,101020,0.973915996681747,0.3791327652184897,0.3692434649124722,0.6335
irrelevant_high,12,101021,42.52085019558386,0.11915528217567573,5.066583903404432,0.54875
relevant_mid,12,101022,6.8640260806851945,0.9984533342207509,6.853409726438326,0.7165
mixed_budget_limited,12,101023,39.90639067934963,0.9978008601916939,39.818630947000855,0.6905
relevant_high,12,101024,24.350022864555484,0.9995920193806598,24.340088527146253,0.76425
random,4,101040,0.47555888842618876,0.13399019476541557,0.06372022808264957,0.5165
irrelevant_high,4,101041,21.993066130260605,6.262969299340168e-05,0.0013774189797218022,0.49925
relevant_mid,4,101042,7.033591691669167,0.9963593688739344,7.007984978828439,0.73875
mixed_budget_limited,4,101043,20.776183202930802,0.00031921031117695877,0.0066319719052770456,0.506
relevant_high,4,101044,24.010012596031054,0.9994316992846856,23.99636768869802,0.7455
random,12,101120,0.9242024467387342,0.5905897795507751,0.545824519279716,0.624
irrelevant_high,12,101121,41.914155911738405,0.021941453565511214,0.9196575056750056,0.52575
relevant_mid,12,101122,6.941580363144828,0.9980311810896656,6.927913648458262,0.6025
mixed_budget_limited,12,101123,39.921749395277814,0.9974876817469451,39.82145325557818,0.63175
relevant_high,12,101124,24.600392906651706,0.999028127190001,24.57648445367044,0.63975
random,4,101140,0.4900141812683374,0.34601812528897385,0.16955378836748153,0.60075
irrelevant_high,4,101141,22.16528458099954,6.169409672996514e-05,0.0013674672109873904,0.50275
relevant_mid,4,101142,7.041384239012407,0.9941018868829237,6.999853358269913,0.774
mixed_budget_limited,4,101143,21.027817546688933,0.0008641357183661789,0.018170888221380983,0.491
relevant_high,4,101144,24.642859826620757,0.9992735517415366,24.624958064016152,0.78875
random,12,101220,0.9548481917600153,0.3623561568414555,0.3459951211331723,0.60125
